replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,b_a_3,g_a_1,b_cn_0,b_cn_1,b_cn_2,b_cn_3,g_cn_1,b_e_0,b_e_1,b_e_2,b_e_3,g_e_1,mean_y,b_mean_1,b_mean_2,b_mean_3,g_mean_1,se_b_a_0,se_b_a_1,se_b_a_2,se_b_a_3,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_b_cn_3,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_b_e_3,se_g_e_1,se_mean_y,se_b_mean_1,se_b_mean_2,se_b_mean_3,se_g_mean_1
1,20260721,TRUE,0,0,,250,30500,122,122,122,165866.06950601126,47,863.5109701156616,0.28695081967213115,2.067142712431208,1.123009929329089,0.08613954776811976,-0.10864580965676886,0.003397151443983466,0.19354393231235276,0.9170589926068572,-0.015489351234338191,2.8734957240544694e-4,5.638499054199893e-4,0.006154478791008066,0.7137225499470238,0.09313334997776576,0.0025104340699638188,-6.379162587446334e-4,0.012695690119719386,5.046352428206729,-0.03586908969421527,-0.012056167272386877,0.0046045878400819236,-0.006064832075492027,0.03025705469410458,0.02082785333489389,0.012205906102231517,0.003143287188934754,0.04280624365418012,0.023749808970981078,0.012572909703098878,0.0040582549522758275,0.0010802573254716215,0.02554692826892201,0.03451664777532967,0.016148520475389196,0.00859989525588511,0.001535302979357974,0.018377235450314285,0.06266896713062653,0.02633541403701916,0.008000777796915687,0.0021381557476961932,0.04898335937145901
2,20260722,TRUE,0,0,,250,30500,122,122,122,165396.8051612414,54,930.437225818634,0.285344262295082,2.0671011022227503,1.0998036962312532,0.0859327802442792,-0.09670313623214825,-2.7699805129239934e-4,0.19589345852726572,0.9679804359279136,-0.007702283790867948,-0.005206858184147491,0.001391861758621106,-0.025215265473189235,0.679763371787111,0.11093378924698573,-0.0021534961081349437,-1.539403832523997e-4,0.0016647580610259804,4.984643248213792,0.022987073547246082,1.69884071462948e-4,-0.0014458979669913934,0.0209629419976981,0.03046620324418482,0.023377254074266197,0.013275316464473861,0.0033504802461789066,0.043923806680485594,0.022689603369586156,0.012061338336818783,0.003952341197041742,0.0011018144815916797,0.024306964619889373,0.03544513028410517,0.019093575517414436,0.010700795166791075,0.001766387397651867,0.01874985820571864,0.06174697627310827,0.025799448429207797,0.0071486568188172525,0.0019678331488069004,0.04827318438274248
3,20260723,TRUE,0,0,,250,30500,122,122,122,165788.5398802712,43,823.443727016449,0.2879344262295082,2.066670921355156,1.052587759234038,0.14032771948922795,-0.1015889239775602,-4.015560790929287e-4,0.12727726188091773,0.9343680430651132,-0.009867723678404057,-0.005358448740596466,0.0015905324857736958,0.04513134819561292,0.7111871170196541,0.06611895854364411,0.011799126077240403,-0.001079458054449834,0.023058727516771866,5.023289202010407,-0.01520197711509833,0.0019886051859004843,-2.8685367004922146e-4,0.012629001150312917,0.03078503040363419,0.022024457779792783,0.01124157628086397,0.003039554798523857,0.041565181765684564,0.024774099641303737,0.012810306671518418,0.005590317104835239,0.0013537684921486595,0.024243901055442718,0.02959704347921382,0.013424328026628043,0.005952583016067125,0.0011403201843421928,0.018430271842556207,0.0607562152271115,0.02636876558336701,0.00775502461337733,0.002105006081614422,0.04901680223729445
4,20260724,TRUE,0,0,,250,30500,122,122,122,165417.96744520208,42,816.5062091350555,0.28318032786885244,2.066697244754035,1.0784729396769275,0.060407189034291306,-0.09691456821676642,3.95095631283849e-4,0.23940598262115603,0.9356733831350804,-0.0017301736142951857,-0.0012168767013670176,8.554362286972036e-5,-0.011294854601091779,0.7100093290146274,0.12178949690460314,-0.010399021157175848,9.6630993339091e-4,0.015469856034557538,5.07140073124357,-3.594397090101072e-4,-0.007240862110071389,2.11975098914983e-4,0.05381389408132522,0.03221986562181126,0.022270120819179777,0.010656207444013268,0.0030787676177182577,0.049320909340667525,0.022716211546796615,0.012332829398725995,0.0030438372525410365,9.524070430154028e-4,0.025739257069343054,0.034423184581568074,0.01829889109328562,0.00981411911958201,0.0016601270345364843,0.018320669916614896,0.061400999610773666,0.02602093910689853,0.007237885854220436,0.002029306459114546,0.04906850954128042
5,20260725,TRUE,0,0,,250,30500,122,122,122,165395.12037864962,44,831.4308469295502,0.2796393442622951,2.0667332813763397,1.1121259983604426,0.08772173485522493,-0.10066214619881442,-1.0614859306853543e-4,0.25033990358894653,0.8562304550345243,-0.007890144611418659,0.008038370928936063,-5.756610571080109e-4,0.014094329060507848,0.6915232239139595,0.13494323468392552,-0.013493921382141939,0.0011299790430005419,-0.007531932135013862,5.022768931069984,0.0028958697312433668,-0.007277544075228695,-3.9628090429460637e-4,0.07943476475119146,0.028955472641352505,0.020814597627047474,0.011282254335037318,0.003186886056670416,0.042658743723373645,0.02323996339420287,0.01231325506575361,0.0027548646679222627,8.811925419581369e-4,0.025779347111937103,0.03434974088300799,0.019477954545467687,0.010022580227339713,0.0016719225131842886,0.018924127010035072,0.060976192384434844,0.025440573754934213,0.00767452162398948,0.002073180453216708,0.0494359415697542
6,20260726,TRUE,0,0,,250,30500,122,122,122,165692.35760829248,48,664.9509620666504,0.2826885245901639,2.0667063311089198,1.1183055551607306,0.07845178793251656,-0.08759837108270409,7.95813106562356e-4,0.15513721929142385,0.8945395194691432,0.006040358292137114,-4.991914812624364e-4,3.8334993223136947e-4,-0.009417985774955942,0.6586644512507868,0.10432543316370031,0.006798999193944852,-0.0013624189346623085,-0.011751636527207107,5.001290721863151,-0.019688926688779234,0.009404748594251581,-9.102821068908217e-4,-0.01810921340170434,0.02856383896275532,0.020374094154826584,0.010008090784816296,0.0026327543784191994,0.04115661645448104,0.024706799020941594,0.012899031400179454,0.005620758445989432,0.001344109297101012,0.02545233517219087,0.036293433765447886,0.019373897171057974,0.010634504779227954,0.001790158963609475,0.019534857863734975,0.061587636027248836,0.02597459945672785,0.0072520716178598125,0.002026248891370122,0.04876355050012537
7,20260727,TRUE,0,0,,250,30500,122,122,122,165104.44349116262,47,863.65460896492,0.2834426229508197,2.067262172175833,1.0744271889450565,0.09022116171680969,-0.0847274342119134,-0.004523458926626907,0.20242621844244157,0.9218904397897131,0.009575423922649743,2.4231312073206638e-4,-2.863960347695277e-4,-0.0330587527092062,0.664781655868177,0.11740144525585858,-6.979990012216445e-4,-4.3990605790952017e-4,-0.008270149297797437,5.0614659472746215,-0.004728842115548551,-0.008004524467016667,0.002103936720426678,-0.012902450913564786,0.031178480950443295,0.02035945127696445,0.01091136237023014,0.003074203802716112,0.04348765593412517,0.02241401870105291,0.012021060550280478,0.003452832524235462,9.784840890829935e-4,0.024118173750739443,0.03616846996911124,0.017721139277646014,0.009600328507700255,0.0016659716149546283,0.01831914519693395,0.06100162376793337,0.025762993219146907,0.00728971826184121,0.0020168963431315538,0.04839479360645793
8,20260728,TRUE,0,0,,250,30500,122,122,122,165209.032635151,46,851.1830370426178,0.28380327868852456,2.0671410915499413,1.119816158553377,0.08730714884157513,-0.09546071170627575,-6.401780358170171e-4,0.19344885082843497,0.896431971488547,-0.0034013155186691183,0.0010629604707862517,9.188515824267751e-4,-0.008383305005295966,0.6503501298831957,0.10445786350742135,0.003294219672029293,-6.089586102377545e-4,0.02111511027437139,5.06496976653841,-0.04279969954570625,5.259979510139095e-4,0.0013686779692750832,-0.027702555112450834,0.027529272747469018,0.020045743591950764,0.010508230403166554,0.0029615740264595696,0.041734074918311916,0.02325396514915081,0.01207109470910219,0.0042534903802575064,0.00106928080943284,0.024723579933536723,0.036023929138920475,0.01775240857521286,0.010178562484493139,0.0017553424675765053,0.01896124270924951,0.06118458156038291,0.02578183384239888,0.007115515030790116,0.0019918118034472462,0.0488931422827566
9,20260729,TRUE,0,0,,250,30500,122,122,122,165402.74056117603,45,842.175674200058,0.28232786885245903,2.0669225482078675,1.09549574388774,0.12274056423942484,-0.0951561622921518,-0.005332539989824612,0.16788412851474077,0.888840351059923,-0.0015209505609742973,0.003922529971237147,-1.2770106854863663e-4,-0.03345194894409139,0.6957149117692968,0.09541188065770487,0.0027177075887382857,-7.091709816150407e-4,0.027604557554108858,4.964380566183785,-0.01026328590102998,5.177402178158344e-4,-1.2131186086353052e-5,-0.003668431408333062,0.030188391482954494,0.02149716844046629,0.011229144099611867,0.0031637152042528335,0.04373986507027349,0.024255237054284676,0.012774872379188146,0.005034037533375384,0.0012286268145556387,0.025142077228593334,0.037787231952084235,0.017667038971978775,0.013112315575622598,0.0022871547820868783,0.018268998484058385,0.06126601135091094,0.02606817246644831,0.007685070539363962,0.0020894929932434793,0.048571545873692654
10,20260730,TRUE,0,0,,250,30500,122,122,122,165583.7445712938,45,845.4633820056915,0.2814426229508197,2.0667082377505874,1.0933179522357952,0.09157464660096666,-0.11063218423646987,0.002978715791078052,0.20488461016076967,0.9160322020801935,0.0017860958796520204,-0.0014313941312001982,3.2926823180171093e-4,-0.014768268090685661,0.7123616835275793,0.09675409832884989,0.0027238126392846265,-6.893807757951415e-4,0.004709586019192186,4.9219013181359506,0.03720753275742457,0.0048254956898516,-0.001502733735917649,-0.05147140677642366,0.030304836942858657,0.021587405980523063,0.011586468578589257,0.0031819976576449357,0.04587736917466846,0.023793611324536123,0.012901610139662484,0.0036352246413063672,0.0010168584920553201,0.025274731187068283,0.032128637538461874,0.01445384480897699,0.006659199597157253,0.0012617970938786542,0.018326676697974373,0.060946187072860564,0.025924814640634324,0.007194731948861965,0.001995567085437206,0.04895990399726994
